Job Title,Company Name,Status,CTC,Recruiters Details,URL,question_text,input type,user input text
C++ Software Developer,,Not Applying because of keyword mentioned c++,,,No URL,,,
Lead/ Senior Software Engineer- .Net,,Not Applying because of keyword mentioned .net,,,No URL,,,
Perl Developer | Immediate Joiner,,Not Applying because of keyword mentioned perl,,,No URL,,,
.Net Core Angular Full Stack Developer,,Not Applying because of keyword mentioned angular,,,No URL,,,
Firmware Developer,Collabera Digital,Applied Successfully,15-20 Lacs P.A.,No Recruiters Details Found,No URL,,,
Firmware Developer,Collabera Digital,Already applied,15-20 Lacs P.A.,No Recruiters Details Found,No URL,,,
Full Stack Developer (Python & ReactJS),,Not Applying because of keyword mentioned reactjs,,,No URL,,,
Salesforce Copado Developer/Admin,,Not Applying because of keyword mentioned salesforce,,,No URL,,,
Flutter Developer @ ITDM,,Not Applying because of keyword mentioned flutter,,,No URL,,,
Archer IRM Developer,9nexus Limited,Applied Successfully,Not Disclosed,No Recruiters Details Found,No URL,,,
Archer IRM Developer,9nexus Limited,Already applied,Not Disclosed,No Recruiters Details Found,No URL,,,
Java Back End Developer,,Not Applying because of keyword mentioned java,,,No URL,,,
Jr . Dot Net developer (C#) (.NET CORE ),,Not Applying because of keyword mentioned dot,,,No URL,,,
Hardware Design Engineer,Bhuvicube Technologies,Applied Successfully,6.5-10 Lacs P.A.,No Recruiters Details Found,No URL,,,
Hardware Design Engineer,Bhuvicube Technologies,Already applied,6.5-10 Lacs P.A.,No Recruiters Details Found,No URL,,,
Mobile Application Developer,Cybertel Infotech,Applied Successfully,6.5-10 Lacs P.A.,No Recruiters Details Found,No URL,,,
Mobile Application Developer,Cybertel Infotech,Already applied,6.5-10 Lacs P.A.,No Recruiters Details Found,No URL,,,
Salesforce Developer,,Not Applying because of keyword mentioned salesforce,,,No URL,,,
iOS Developer,Indian Odyssey,Applied Successfully,6.5-10 Lacs P.A.,No Recruiters Details Found,No URL,,,
Windows Developer,Cybertel Infotech,Applied Successfully,7-11 Lacs P.A.,No Recruiters Details Found,No URL,,,
Windows Developer,Cybertel Infotech,Already applied,7-11 Lacs P.A.,No Recruiters Details Found,No URL,,,
Java Script Developer,,Not Applying because of keyword mentioned java,,,No URL,,,
Html5 Game Programmer (All Levels),,Not Applying because of keyword mentioned game,,,No URL,,,
C++ Game Programmer (All Levels),,Not Applying because of keyword mentioned c++,,,No URL,,,
"Java Back End Developer - Akamai,Bangalore/Bengaluru From 2 to 4 year(s) of experience",,Not Applying because of keyword mentioned java,,,No URL,,,
"Java Back End Developer - Akamai,Bangalore/Bengaluru From 2 to 4 year(s) of experience",company_name,Applied on the company's portal,  Not Disclosed by Recruiter ,No Recruiters Details Found,https://www.naukri.com/job-listings-java-back-end-developer-akamai-bangalore-bengaluru-2-to-4-years-091123006932?src=jobsearchDesk&sid=16999644098091145&xp=20&px=1,,,
