Job Title,Company Name,Status,CTC,Recruiters Details,URL,question_text,input type,user input text
Full Stack Developer (Python & ReactJS),,Not Applying because of keyword mentioned reactjs,,,No URL,,,
Perl Developer | Immediate Joiner,,Not Applying because of keyword mentioned perl,,,No URL,,,
Head of Technical Development,Hudson Outsourcing Technologies,Applied Successfully,15-30 Lacs P.A.,No Recruiters Details Found,No URL,,,
Automation Tester(Python+AWS)(Hybrid),CBNITS,Applied Successfully,12-15 Lacs P.A.,No Recruiters Details Found,No URL,,,
Exciting Opportunity For PHP & Python Developer || Shipco IT,,Not Applying because of keyword mentioned php,,,No URL,,,
Senior Software Consultant,Courtroom Insight,Applied Successfully,Not Disclosed,No Recruiters Details Found,No URL,,,
Senior Devops Engineer,IKS HEALTH,Applied Successfully,Not Disclosed,No Recruiters Details Found,No URL,,,
Flutter Developer @ ITDM,,Not Applying because of keyword mentioned flutter,,,No URL,,,
Python Software Developer,Karbox Info,Applied Successfully,6.5-10 Lacs P.A.,No Recruiters Details Found,No URL,,,
Software Application Developer,Thakur Brothers Cosmo Technology,Applied Successfully,6.5-10 Lacs P.A.,No Recruiters Details Found,No URL,,,
