Job Title,Company Name,Status,CTC,Recruiters Details,URL,question_text,input type,user input text
Lead/ Senior Software Engineer- .Net,,Not Applying because of keyword mentioned .net,,,No URL,,,
.Net Core Angular Full Stack Developer,,Not Applying because of keyword mentioned angular,,,No URL,,,
Dotnet Developer,Duck Creek,Applied Successfully,6-15 Lacs P.A.,No Recruiters Details Found,No URL,,,
Snowflake Developer with DBT,Webmobril Staffing Solutions,Applied Successfully,20-27.5 Lacs P.A.,No Recruiters Details Found,No URL,,,
Senior Dot Net Developer (.Net) Full Stack,,Not Applying because of keyword mentioned dot,,,No URL,,,
Senior Angular Developer | Fully Remote | Hybrid | x4,,Not Applying because of keyword mentioned angular,,,No URL,,,
Ms Dynamics CRM - Technical Consultant,Synoptek,Applied Successfully,Not Disclosed,No Recruiters Details Found,No URL,,,
Full Stack .Net Developer,,Not Applying because of keyword mentioned .net,,,No URL,,,
Senior Angular Developer | Fully Remote | Hybrid | x4,,Not Applying because of keyword mentioned angular,,,No URL,,,
Software Engineer Salesforce,,Not Applying because of keyword mentioned salesforce,,,No URL,,,
Flutter Developer @ ITDM,,Not Applying because of keyword mentioned flutter,,,No URL,,,
Ui Developer,,Not Applying because of keyword mentioned ui,,,No URL,,,
Game Tester (QA All Levels),,Not Applying because of keyword mentioned game,,,No URL,,,
Blockchain Developer : Backend / Cryptography,,Not Applying because of keyword mentioned blockchain,,,No URL,,,
Java Full Stack Developer,,Not Applying because of keyword mentioned java,,,No URL,,,
Java and J2Ee Developer,,Not Applying because of keyword mentioned java,,,No URL,,,
"Openings For Java Developer @ Istarbs, Client Chennai",,Not Applying because of keyword mentioned java,,,No URL,,,
Html5 Game Programmer (All Levels),,Not Applying because of keyword mentioned game,,,No URL,,,
C++ Game Programmer (All Levels),,Not Applying because of keyword mentioned c++,,,No URL,,,
"Java Back End Developer - Akamai,Bangalore/Bengaluru From 2 to 4 year(s) of experience",,Not Applying because of keyword mentioned java,,,No URL,,,
"Java Back End Developer - Akamai,Bangalore/Bengaluru From 2 to 4 year(s) of experience",company_name,Applied on the company's portal,  Not Disclosed by Recruiter ,No Recruiters Details Found,https://www.naukri.com/job-listings-java-back-end-developer-akamai-bangalore-bengaluru-2-to-4-years-091123006932?src=jobsearchDesk&sid=16998178847053401&xp=20&px=1,,,
