Job Title,Company Name,Status,CTC,Recruiters Details,URL,question_text,input type,user input text
Lead/ Senior Software Engineer- .Net,,Not Applying because of keyword mentioned .net,,,No URL,,,
Perl Developer | Immediate Joiner,,Not Applying because of keyword mentioned perl,,,No URL,,,
Senior RPA Developer,The Valor Solution,Applied Successfully,Not Disclosed,No Recruiters Details Found,No URL,,,
Azure Data Engineer,We Remote Devs Pvt Ltd,Applied Successfully,12-20 Lacs P.A.,No Recruiters Details Found,No URL,,,
.Net Core Angular Full Stack Developer,,Not Applying because of keyword mentioned angular,,,No URL,,,
Senior Sql Developer,IKS HEALTH,Applied Successfully,Not Disclosed,No Recruiters Details Found,No URL,,,
Flutter Developer @ ITDM,,Not Applying because of keyword mentioned flutter,,,No URL,,,
Firmware Developer,Collabera Digital,Applied Successfully,15-20 Lacs P.A.,No Recruiters Details Found,No URL,,,
Full Stack Developer (Python & ReactJS),,Not Applying because of keyword mentioned reactjs,,,No URL,,,
Salesforce Copado Developer/Admin,,Not Applying because of keyword mentioned salesforce,,,No URL,,,
Java Full Stack Developer,,Not Applying because of keyword mentioned java,,,No URL,,,
Senior Dot Net Developer (.Net) Full Stack,,Not Applying because of keyword mentioned dot,,,No URL,,,
Blockchain Developer : Backend / Cryptography,,Not Applying because of keyword mentioned blockchain,,,No URL,,,
Html5 Game Programmer (All Levels),,Not Applying because of keyword mentioned game,,,No URL,,,
C++ Game Programmer (All Levels),,Not Applying because of keyword mentioned c++,,,No URL,,,
"Java Back End Developer - Akamai,Bangalore/Bengaluru From 2 to 4 year(s) of experience",,Not Applying because of keyword mentioned java,,,No URL,,,
"Java Back End Developer - Akamai,Bangalore/Bengaluru From 2 to 4 year(s) of experience",company_name,Applied on the company's portal,  Not Disclosed by Recruiter ,No Recruiters Details Found,https://www.naukri.com/job-listings-java-back-end-developer-akamai-bangalore-bengaluru-2-to-4-years-091123006932?src=jobsearchDesk&sid=16998184694154097&xp=16&px=1,,,
Java with Spark,,Not Applying because of keyword mentioned java,,,No URL,,,
Power Automate Developer/Engineer,Smartcloud Infoservices,Applied Successfully,15-20 Lacs P.A.,No Recruiters Details Found,No URL,,,
Iot Engineer,MAA Shambhavi Engicon,Applied Successfully,7.5-11 Lacs P.A.,No Recruiters Details Found,No URL,,,
HRIS Administrator Workday payroll time tracking compensation US MNC,US MNC,Applied Successfully,Not Disclosed,No Recruiters Details Found,No URL,,,
