Job Title,Company Name,Status,CTC,URL
job_title,company_name,Apply manually on company's portal,  Not Disclosed by Recruiter,https://www.naukri.com/job-listings-java-developer-allegis-group-pune-maharashtra-3-to-8-years-220523000592?src=jobsearchDesk&sid=16847349278512335&xp=1&px=1
CE-CRM Consultant (DevTech),Hitachi Solutions,Not Disclosed,Applied Successfully 
CE-CRM Consultant (DevTech),Hitachi Solutions,Apply manually on company's portal,  Not Disclosed by Recruiter,https://www.naukri.com/myapply/showAcp?jquery=1&file=190523500873&multiApplyResp={%22190523500873%22:202}
Saviynt Developers (On contract)_Remote,Kanary Staffing,Not Disclosed,Applied Successfully 
Saviynt Developers (On contract)_Remote,Kanary Staffing,Not Disclosed,Already Applied
QA Engineer,Youscience,Not Disclosed,Applied Successfully 
QA Engineer,Youscience,Not Disclosed,Already Applied
Java Full Stack Developer,Vikruthi Technologies,15-30 Lacs P.A.,Applied Successfully 
